"Wavelength","ATTO 425 EM","ATTO 425 AB","ATTO 465 EM","ATTO 465 AB","ATTO 488 EM","ATTO 488 AB","ATTO 495 EM","ATTO 495 AB","ATTO 514 EM","ATTO 514 AB","ATTO 520 EM","ATTO 520 AB","ATTO 532 EM","ATTO 532 AB","ATTO 542 EM","ATTO 542 AB","ATTO 550 EM","ATTO 550 AB","ATTO 565 EM","ATTO 565 AB","ATTO 590 EM","ATTO 590 AB","ATTO 594 EM","ATTO 594 AB","ATTO 610 EM","ATTO 610 AB","ATTO 620 EM","ATTO 620 AB","ATTO 633 EM","ATTO 633 AB","ATTO 647 EM","ATTO 647 AB","ATTO 655 EM","ATTO 655 AB","ATTO 680 EM","ATTO 680 AB","ATTO 700 EM","ATTO 700 AB","ATTO 725 EM","ATTO 725 AB"
652,0.0103722942649351,,0.0349090906969697,,0.0115064935064935,,0.0581688309956709,,0.0153722949264069,,0.0229696969393939,,0.0433722947575757,,0.0610476196883116,,0.117012986103896,,0.23893939077922,,0.505809529307359,0.00267532476753246,0.505809529307359,0.00625108237922077,0.677515147229436,0.0323160173722943,0.884705617012986,0.0749696976493505,0.998735937056276,0.27409956017316,0.611225101471861,0.931073578961038,0.127424241380952,0.861476183896103,0.0158484848155844,0.589138521341991,0.00177056286580086,0.409056281774891,,0.382870133636363
653,0.0101688310025974,,0.0339696977835497,,0.0113722943904762,,0.0563722937748917,,0.0147662339047619,,0.0221385281385281,,0.0422294378528138,,0.058969697038961,,0.112683982593073,,0.232519479090909,,0.490060603766233,0.0024329004987013,0.490060603766233,0.00550649365411255,0.658303037748917,0.028805195064935,0.863839816017315,0.0661515156883116,0.994073596147185,0.246692635930736,0.653896096103895,0.903506482770562,0.144393939995671,0.880121206883116,0.0178354979653679,0.604090901948051,0.0020000001060606,0.41173160099567,,0.391567101385281
654,0.00983116859740258,,0.0331385293203463,,0.0112597402839827,,0.0545064934155843,,0.0142034631731602,,0.0213722944025974,,0.0410000004285714,,0.0568181817272726,,0.108614718675325,,0.22598701038961,,0.475541121688311,0.00207792214891775,0.475541121688311,0.00490909098008657,0.640073596103895,0.0256666666623376,0.842259728614717,0.0579653678354978,0.987480513203462,0.221623371385281,0.695969688354977,0.872086579177488,0.163571430610389,0.898597406709956,0.0202683981298701,0.618891771298701,0.00222943732467532,0.415164501731601,,0.399731598571428
655,0.00962770526233765,,0.0323722957316017,,0.0108614718398268,,0.0528787878051947,,0.0137056276147186,,0.0205367963982684,,0.0397705625714285,,0.0549696965974025,,0.104601731588744,,0.219714286623376,,0.462090904242424,0.00183116892034632,0.462090904242424,0.00437229444242424,0.622822505670995,0.0228354980952381,0.820848478874458,0.0502207784242424,0.979264057489176,0.198675321601731,0.737515136233765,0.837030303160172,0.185255410995671,0.916705629177488,0.0230346322034632,0.633701296796536,0.00228138532597402,0.41915151034632,,0.407653673290043
656,0.00940259705281384,,0.0316277061731601,,0.0103982682961039,,0.0514199134805194,,0.0132943722943723,,0.0198311682770562,,0.0386277051471861,,0.0530476188181817,,0.100445887528138,,0.213502166493506,,0.449580082164502,0.00153679660865801,0.449580082164502,0.00376623384112554,0.606086584891774,0.0203593072207792,0.799896096363635,0.0429653667402597,0.969519459177488,0.177922075887446,0.777632025887445,0.798865804242423,0.209614717662337,0.933891775324674,0.0261774892337662,0.648012989177488,0.00250649356493506,0.423952376147186,,0.415225101904761
657,0.00899999973852813,,0.0308614717965368,,0.0100909088181818,,0.0501991333333333,,0.0127056277056277,,0.0190779213896104,,0.0373722942424242,,0.0513419907835497,,0.096571429164502,,0.20739394004329,,0.437922072380952,0.00137229440952381,0.437922072380952,0.00311255419177489,0.589714291428571,0.0180649351948052,0.779346318311687,0.0363333324415584,0.958207769134198,0.159060604415584,0.815484850432899,0.75793940082251,0.236930739134199,0.950177483073592,0.0297142862337662,0.662073597489177,0.00296969702034632,0.429627705194805,,0.422316009913419
658,0.00859740248917748,,0.0300303029047619,,0.00954112521904761,,0.0489090904415584,,0.0122943723125541,,0.0184328998484848,,0.0360476188917748,,0.0496753243116883,,0.0925584425238094,,0.201584414891775,,0.427073589090909,0.00113852815238095,0.427073589090909,0.00267532476753246,0.573683985238094,0.016129870060606,0.759147187835497,0.0303030299307359,0.945554096623375,0.142164499463203,0.850948053506492,0.714965368658008,0.266844159004329,0.964857131948051,0.0337748920952381,0.675839832987012,0.00345021646190476,0.436463207402597,,0.428865791255411
659,0.00828138536536796,,0.0289999996536796,,0.00896969670216449,,0.0477705625151515,,0.0117056277116883,,0.0177662335714285,,0.0349393939090909,,0.0481125538961038,,0.0887575777186146,,0.196030304329004,,0.416930731948051,0.000969696966666665,0.416930731948051,0.0024329004987013,0.558103885800865,0.0145541126372294,0.739541137835497,0.0249826837316017,0.931813849004328,0.126822509558441,0.883164507402596,0.670523803419913,0.299822513982684,0.977428558961038,0.0382251084848484,0.689264078441557,0.00396969695930735,0.444168833290043,,0.434835492121212
660,0.00822943753679653,,0.02796969704329,,0.00850649338008657,,0.0467186146277056,,0.0112034631757576,,0.0171428573376623,,0.0340476193419913,,0.0466753249826839,,0.0853852837316016,,0.190359307792208,,0.407476189610389,0.000909090899999999,0.407476189610389,0.00207792214891775,0.543393929437229,0.0132510823835498,0.720458891904761,0.0207012985722943,0.917333336883116,0.113177488943723,0.911852815541124,0.625372286623376,0.335406928701298,0.987675314372293,0.043194805108225,0.702627705584415,0.0045974026060606,0.45292208064935,,0.440069262640692
661,0.00800000043030302,,0.0271385288917749,,0.00837229447445886,,0.0453116883419913,,0.0107662337099567,,0.0166277062121212,,0.03337229508658,,0.0453419915541125,,0.0824199156926406,,0.184969696536796,,0.398822509523809,0.000999999999999999,0.398822509523809,0.00183116892034632,0.529333326017315,0.0120476191047619,0.701943741601731,0.0171948055229437,0.901991344372293,0.100926408463203,0.936303032813851,0.580424235411255,0.37348052017316,0.995116880649349,0.0487012981904761,0.715878785844155,0.00531168832943722,0.462658012034631,,0.444614719480519
662,0.00777056321558441,,0.0262813862034632,,0.00816883146406925,,0.0439696977445887,,0.0103722942528138,,0.0160000006883117,,0.0326277064761904,,0.0440476193030302,,0.0795108245541125,,0.179506493116883,,0.390683977402597,0.000999999999999999,0.390683977402597,0.00153679660865801,0.515965357316017,0.0109696967705628,0.683774909696969,0.0142251085220779,0.886484852640691,0.0898787886493505,0.956744589393938,0.536199132207791,0.413839832770562,0.999077924199133,0.0549826835021644,0.72920779108225,0.00590909102943722,0.473445891515151,,0.448298705367965
663,0.00762770595324674,,0.0255974034069264,,0.00783116922770562,,0.0427359314588744,,0.0099090907090909,,0.0153722949264069,,0.0318614719393939,,0.0430606064978354,,0.0765064955930735,,0.174281385367965,,0.383086573939393,0.000999999999999999,0.383086573939393,0.00137229440952381,0.503311676839826,0.00981818173506492,0.666086592510822,0.0117748919675324,0.870670991861471,0.0799090919999999,0.973333334632033,0.493086578225107,0.456038965194805,0.998965376969696,0.0620303035541125,0.743004323679653,0.00656709970259739,0.4848701304329,,0.451298706190476
664,0.00746320374675324,,0.0249090912813852,,0.00753679693506493,,0.0416536806623376,,0.00968831133506492,,0.0147662339047619,,0.0310303026277056,,0.0419393942251082,,0.0735584436623376,,0.169138525800866,,0.376034623463203,0.000999999999999999,0.376034623463203,0.00113852815238095,0.491177483852813,0.00887878785108224,0.649034642813852,0.00980519495714284,0.854567090476189,0.0710909104415584,0.98562338121212,0.451701298614718,0.499567103073592,0.994385292510821,0.0699696978571428,0.757194804761904,0.00741991359740259,0.496935065800865,,0.453523815281385
665,0.00716883139956709,,0.0243722945108225,,0.00737229464675324,,0.0407662341168831,,0.00931168794372293,,0.0142034631731602,,0.0299999997532467,,0.0408614716493506,,0.0711082268181817,,0.163969694458874,,0.369177485670995,0.000999999999999999,0.369177485670995,0.000969696966666665,0.479346319523809,0.00810822516666665,0.632177497445887,0.00820779223896103,0.837839818961038,0.0631212132943722,0.99394373116883,0.412000001038961,0.5441168908658,0.98484849121212,0.0790173165194804,0.772103897705627,0.00841991357099566,0.509822512900432,0.000999999999999999,0.455038965887445
666,0.0068311690112554,,0.0237662337359307,,0.00722943746623376,,0.0398311692857142,,0.00899999973852813,,0.0137056276147186,,0.0289696968051948,,0.0396277051428571,,0.0687402606363635,,0.158818177142857,,0.36289610056277,0.000999999999999999,0.36289610056277,0.000909090899999999,0.46786580038961,0.00741991356233765,0.615714292510822,0.00698701308008657,0.821043283636363,0.0560735937835497,0.998792217489176,0.374389605714285,0.589277063939393,0.970142866580085,0.0892987041991341,0.787792215151514,0.00947619046450215,0.523316018008657,0.000999999999999999,0.456064936796536
667,0.00653679668138527,,0.0232034631125541,,0.00700000019696969,,0.0389393937445887,,0.00859740248917748,,0.0132034632034632,,0.0281385282121212,,0.0382813844718614,,0.066190477069264,,0.153969692943723,,0.356835496883116,0.000999999999999999,0.356835496883116,0.000999999999999999,0.45671428056277,0.0069696972077922,0.599865807662337,0.0059264070077922,0.8039696912987,0.0496406942164501,0.999991353419912,0.338943717186147,0.634476187619047,0.950181828571427,0.100805197121212,0.804103899047618,0.0107878789541125,0.537268386017315,0.000999999999999999,0.4562684004329
668,0.0063722945095238,,0.0227056277056277,,0.00677056293852813,,0.0380909083506493,,0.00837229447445886,,0.0127662337662337,,0.0273722951255411,,0.0371082242077922,,0.0639653676233765,,0.149047615627705,,0.35112987,0.000999999999999999,0.35112987,0.000999999999999999,0.446177486277056,0.00653679677229436,0.584346328614718,0.00525108234761904,0.786831160389609,0.0440259748961038,0.998584426147185,0.306116878181818,0.679476183419913,0.925199139740258,0.11368398391342,0.821194798138527,0.0124199135004329,0.551645006926406,0.000999999999999999,0.455805199134199
669,0.00613852825238094,,0.0222943722943723,,0.00662770579047618,,0.0369999994372294,,0.00816883146406925,,0.0123722943722944,,0.0266277065497835,,0.0361991333073593,,0.0618181809393939,,0.14434198987013,,0.345783548484848,,0.345783548484848,0.000999999999999999,0.436034629826839,0.00614285723419913,0.569177496060605,0.00467532469956709,0.769735921688311,0.0389913428051948,0.994333337575756,0.275991339220779,0.723913413073592,0.895796543939393,0.128012986987013,0.839004319307358,0.0140173160337662,0.56605194047619,0.000999999999999999,0.454896109264069
670,0.00606060617575757,,0.0217056277056277,,0.0063722945095238,,0.0359999996277056,,0.00783116922770562,,0.0120000000181818,,0.0257705635800865,,0.0353116884242424,,0.0598831159090908,,0.139766234675325,,0.340623374155844,,0.340623374155844,0.000999999999999999,0.426177486536796,0.0057662338056277,0.554311702294372,0.00411255415800865,0.752883114155843,0.034519481077922,0.987865804458873,0.248610387489177,0.766896101818181,0.862238096233765,0.14418181778355,0.85720778155844,0.0157575757064935,0.580627703376623,0.000999999999999999,0.453116891731601
