"Wavelength","Zeiss G 365","Zeiss FT 395","Zeiss BP 445/50"
302,0.0345381789556546
470,,0.972878509577538,0.0411388087116198
471,,0.972878509577538,0.0171764628706363
472,,0.972878509577538,0
473,,0.970609026502229,0
474,,0.964308055628443,0
475,,0.96097612175282,0
476,,0.96097612175282,0
477,,0.96097612175282,0
478,,0.96097612175282,0
479,,0.96097612175282,0
480,,0.96097612175282,0
481,,0.96097612175282,0
482,,0.96097612175282,0
483,,0.96097612175282,0
484,,0.96097612175282,0
485,,0.96097612175282,0
486,,0.96097612175282,0
487,,0.96097612175282,0
488,,0.96097612175282,0
489,,0.96097612175282,0
490,,0.962674494883233,0
491,,0.967400223038573,0
492,,0.972125951193912,0
493,,0.972878509577538,0
494,,0.972878509577538,0
495,,0.973639628706376,0
496,,0.976002492784046,0
497,,0.978365356861716,0
498,,0.979673489023003,0
499,,0.980723650835301,0
500,,0.980813434794017,0
