"Wavelength","Alexa Fluor 488 EM","Alexa Fluor 488 EX","Alexa Fluor 532 EM","Alexa Fluor 532 EX","Alexa Fluor 546 EM","Alexa Fluor 546 EX","Alexa Fluor 555 EM","Alexa Fluor 555 EX","Alexa Fluor 568 EM","Alexa Fluor 568 EX","Alexa Fluor 594 EM","Alexa Fluor 594 EX","Alexa Fluor 647 EM","Alexa Fluor 647 EX","Alexa Fluor 680 EM","Alexa Fluor 680 EX","Alexa Fluor 700 EM","Alexa Fluor 700 EX","Alexa Fluor 750 EM","Alexa Fluor 750 EX"
410,,0.0264,,0.0165,,0.0372,,0.0036,,0.0275,,0.0794,,,,,,0.0377,,0.0237
411,,0.0269,,0.0167,,0.0369,,0.0051,,0.0249,,0.0763,,,,,,0.0369,,0.0238
412,,0.0272,,0.0164,,0.0365,,0.0042,,0.0237,,0.073,,,,,,0.0359,,0.0239
413,,0.0274,,0.016,,0.0359,,0.005,,0.0217,,0.0708,,,,,,0.0351,,0.0241
414,,0.0279,,0.0157,,0.0348,,0.0052,,0.0202,,0.0679,,,,,,0.0343,,0.0243
415,,0.0289,,0.016,,0.0354,,0.0044,,0.0185,,0.0649,,,,,,0.0338,,0.0247
416,,0.0295,,0.0157,,0.035,,0.0045,,0.0172,,0.0624,,,,,,0.0329,,0.025
417,,0.0304,,0.0159,,0.0347,,0.0066,,0.0156,,0.0607,,,,,,0.0323,,0.0252
418,,0.0313,,0.016,,0.0337,,0.0061,,0.0148,,0.0572,,,,,,0.0315,,0.0256
419,,0.032,,0.0158,,0.0336,,0.0059,,0.013,,0.0539,,,,,,0.031,,0.0262
420,,0.0332,,0.016,,0.033,,0.0059,,0.0122,,0.0524,,,,,,0.0299,,0.0263
421,,0.0339,,0.0155,,0.0321,,0.0055,,0.0111,,0.0496,,,,,,0.0296,,0.0266
422,,0.0359,,0.0164,,0.0324,,0.0068,,0.0095,,0.0458,,,,,,0.0287,,0.0269
