"Wavelength","Zeiss BP 545/25","Zeiss FT 570","Zeiss BP 605/70"
747,0,0.846819961952243,0
748,0,0.844457097874573,0
749,0,0.842094233796903,0
750,0,0.844173117292049,0
751,0,0.846535981369719,0
752,0,0.848345840986617,0
753,0,0.849396002798915,0
754,0,0.852682148167584,0
755,0,0.857932957229073,0
756,0,0.861832589871425,0
757,0,0.864983075308318,0
758,0,0.868526371031226,0
759,0,0.874827341905012,0
760,0,0.881128312778798,0
761,0,0.886474612962476,0
762,0,0.891200341117817,0
763,0,0.895971967112744,0
764,0,0.901222776174233,0
765,0,0.906473585235721,0
766,0,0.91172439429721,0
767,0,0.916081507478352,0
768,0,0.918444371556022,0
769,0,0.920807235633692,0
770,0,0.921301495670427,0
771,0,0.921301495670427,0
772,0,0.921301495670427,0
773,0,0.921301495670427,0
774,0,0.921301495670427,0
775,0,0.920707983468905,0
776,0,0.919920362109682,0
777,0,0.918577669902912,0
778,0,0.915427184466019,0
779,0,0.910823537129361,0
780,0,0.903472404443276,0
781,0,0.896121271757193,0
782,0,0.88877013907111,0
783,0,0.882015481500918,0
784,0,0.875390361235021,0
785,0,0.868039228548936,0
786,0,0.861569579288025,0
787,0,0.856318770226536,0
788,0,0.850510627131985,0
789,0,0.843354631330358,0
790,0,0.833953905361672,0
791,0,0.828703096300183,0
792,0,0.823710837050642,0
793,0,0.820560351613749,0
794,0,0.815934662818156,0
795,0,0.806483206507477,0
796,0,0.802150266771625,0
797,0,0.797949619522435,0
798,0,0.793748972273243,0
799,0,0.79037522959853,0
800,0,0.79037522959853,0
801,0,0.787421542902125,0
802,0,0.784385791130936,0
803,0,0.783598169771713,0
804,0,0.78281054841249,0
805,0,0.782440304382052,0
806,0,0.782440304382052,0
807,0,0.785132686084143,0
808,0,0.789333333333334,0
809,0,0.79037522959853,0
810,0,0.79037522959853,0
811,0,0.795812909997377,0
812,0,0.801479926528471,0
813,0,0.806730735589959,0
814,0,0.811606271319864,0
815,0,0.816331999475204,0
816,0,0.821572465669553,0
817,0,0.828923598355638,0
818,0,0.835952243505642,0
819,0,0.842253214379428,0
820,0,0.848554185253215,0
821,0,0.854855156127001,0
822,0,0.860600454823756,0
823,0,0.865851263885244,0
824,0,0.868244948832327,0
825,0,0.86903257019155,0
826,0,0.870203030700603,0
827,0,0.87414113749672,0
828,0,0.878079244292837,0
829,0,0.877743768039884,0
830,0,0.874593282602991,0
831,0,0.871442797166097,0
832,0,0.868292311729204,0
833,0,0.865141826292311,0
834,0,0.861991340855418,0
835,0,0.858840855418525,0
836,0,0.855295722907372,0
837,0,0.843743942972096,0
838,0,0.833187702265371,0
839,0,0.827936893203883,0
840,0,0.822686084142394,0
841,0,0.817435275080905,0
842,0,0.808193387562317,0
843,0,0.793581999475203,0
844,0,0.787281028601416,0
845,0,0.778266203096299,0
846,0,0.770711624245603,0
847,0,0.763330753083178,0
848,0,0.753879296772499,0
849,0,0.74538095862853,0
850,0,0.738029825942446,0
851,0,0.731271844660193,0
852,0,0.724008396746259,0
853,0,0.714702440304382,0
854,0,0.708401469430595,0
855,0,0.702100498556808,0
856,0,0.695799527683022,0
857,0,0.689498556809235,0
858,0,0.68319758593545,0
859,0,0.676896615061663,0
860,0,0.671382839149829,0
861,0,0.66613203008834,0
862,0,0.664722316977171,0
863,0,0.663934695617948,0
864,0,0.664763185515613,0
865,0,0.668701292311729,0
866,0,0.672639399107846,0
867,0,0.677225990553661,0
868,0,0.681951718709,0
869,0,0.688117423248492,0
870,0,0.697568879559172,0
871,0,0.705273987579813,0
872,0,0.710524796641302,0
873,0,0.71577560570279,0
874,0,0.721026414764279,0
875,0,0.725607452112307,0
876,0,0.729808099361497,0
877,0,0.730273517449488,0
878,0,0.729485896090265,0
879,0,0.727187571066212,0
880,0,0.719836438380127,0
881,0,0.707469036998162,0
882,0,0.68644738913671,0
883,0,0.676995932826028,0
884,0,0.664953030700602,0
885,0,0.650576620309629,0
886,0,0.627164261348726,0
887,0,0.587332065074784,0
888,0,0.571579637890316,0
889,0,0.555827210705851,0
890,0,0.540074783521385,0
891,0,0.521802151666227,0
892,0,0.49671372343217,0
893,0,0.487262267121487,0
894,0,0.480167410128574,0
895,0,0.473866439254788,0
896,0,0.468047231697717,0
897,0,0.463846584448525,0
898,0,0.461075833114668,0
899,0,0.461075833114668,0
900,0,0.461075833114668,0
901,0,0.461075833114668,0
902,0,0.462257150354238,0.0105972975692459
903,0,0.464357473978834,0.0211945951384918
904,0,0.469286801364472,0.0296057027901706
905,0,0.470368669640513,0.0369568354762536
906,0,0.464067698766726,0.0410125951193911
907,0,0.460662194961952,0.0441630805562842
908,0,0.459874573602729,0.0501348727368146
909,0,0.459002842648471,0.0584401731828925
910,0,0.445350739088601,0.0667042770926273
911,0,0.432562844397795,0.0733756231960125
912,0,0.426261873524008,0.0828270795066927
913,0,0.41455313565993,0.0895746523222259
914,0,0.400064287588556,0.101536342167413
915,0,0.381102072946729,0.114078981894517
916,0,0.356657045394908,0.120295635441267
917,0,0.340904618210443,0.125546444502755
918,0,0.325152191025974,0.129591795679174
919,0,0.309399763841507,0.128541633866876
920,0,0.288884807137229,0.124951456310678
921,0,0.258057596431381,0.115499999999999
922,0,0.242305169246912,0.106048543689318
923,0,0.226552742062449,0.0990661243768029
924,0,0.209148255051166,0.0911130936761993
925,0,0.189410259774333,0.0799914720545755
926,0,0.167429283652583,0.0642993964838614
927,0,0.157977827341903,0.0590485874223726
928,0,0.148526371031224,0.0540430333245859
929,0,0.139074914720545,0.0508925478876929
