"Wavelength","Alexa Fluor 700 EX","Alexa Fluor 700 EM","Alexa Fluor 488 EX","Alexa Fluor 488 EM","Alexa Fluor 532 EX","Alexa Fluor 532 EM","Alexa Fluor 546 EX","Alexa Fluor 546 EM","Alexa Fluor 555 EX","Alexa Fluor 555 EM","Alexa Fluor 568 EX","Alexa Fluor 568 EM","Alexa Fluor 647 EX","Alexa Fluor 647 EM","Alexa Fluor 660 EX","Alexa Fluor 660 EM","Alexa Fluor 680 EX","Alexa Fluor 680 EM","Alexa Fluor 594 EX","Alexa Fluor 594 EM","BODIPY FL EX","BODIPY FL EM"
333,,,0.134,,0.1502,,0.1132,,0.0256,,0.0593,,,,0.1132,,,,0.0486,,0.0604
334,,,0.1336,,0.1482,,0.1147,,0.0226,,0.059,,,,0.1135,,,,0.0503,,0.0617
335,,,0.1342,,0.145,,0.1143,,0.0283,,0.0602,,,,0.1132,,,,0.0505,,0.0633
336,,,0.1356,,0.1408,,0.1133,,0.0207,,0.0633,,,,0.1123,,,,0.0522,,0.0633
337,,,0.1365,,0.135,,0.1123,,0.019,,0.0641,,,,0.1103,,,,0.0538,,0.0639
338,,,0.1394,,0.1301,,0.1111,,0.0174,,0.0654,,,,0.1068,,,,0.0562,,0.0644
339,,,0.1393,,0.1223,,0.1089,,0.0159,,0.0668,,,,0.1027,,,,0.0583,,0.0646
340,,,0.1399,,0.1156,,0.1083,,0.0154,,0.0684,,,,0.0979,,,,0.0609,,0.0655
341,,,0.1407,,0.1109,,0.1083,,0.014,,0.0692,,,,0.0933,,,,0.0621,,0.0668
342,,,0.1399,,0.105,,0.1071,,0.0124,,0.0704,,,,0.0883,,,,0.0633,,0.0679
343,,,0.1368,,0.0987,,0.1035,,0.0151,,0.071,,,,0.0839,,,,0.0645,,0.069
344,,,0.1348,,0.0948,,0.1031,,0.0129,,0.0723,,,,0.079,,,,0.0658,,0.0697
345,,,0.1307,,0.0904,,0.0993,,0.0118,,0.0733,,,,0.0757,,,,0.0683,,0.0703
346,,,0.1266,,0.0871,,0.0956,,0.0125,,0.0738,,,,0.0725,,,,0.0678,,0.0712
347,,,0.122,,0.0842,,0.0928,,0.0149,,0.0745,,,,0.0706,,,,0.0704,,0.0714
348,,,0.1176,,0.0825,,0.0894,,0.011,,0.0766,,,,0.0674,,,,0.0709,,0.0721
349,,,0.1124,,0.081,,0.0856,,0.0125,,0.0775,,,,0.0662,,,,0.0713,,0.0728
350,,,0.1085,,0.0811,,0.083,,0.0143,,0.0784,,,,0.0646,,,,0.0732,,0.0732
351,,,0.1025,,0.0794,,0.0795,,0.014,,0.0799,,,,0.0641,,,,0.0759,,0.0736
352,,,0.0981,,0.0803,,0.0781,,0.0116,,0.0807,,,,0.0626,,,,0.0774,,0.0739
353,,,0.0934,,0.0806,,0.0752,,0.013,,0.0813,,,,0.0626,,,,0.0811,,0.0747
354,,,0.0884,,0.0807,,0.0734,,0.0114,,0.0822,,,,0.0612,,,,0.0813,,0.075
355,,,0.0835,,0.0809,,0.0716,,0.0126,,0.0833,,,,0.061,,,,0.0835,,0.0745
356,,,0.0798,,0.0823,,0.0723,,0.01,,0.0839,,,,0.0601,,,,0.0856,,0.075
357,,,0.0753,,0.0825,,0.0705,,0.0108,,0.0845,,,,0.0599,,,,0.0899,,0.0752
358,,,0.0719,,0.0834,,0.0706,,0.0073,,0.0853,,,,0.0586,,,,0.0885,,0.0754
359,,,0.0688,,0.0844,,0.072,,0.0111,,0.0856,,,,0.0589,,,,0.0901,,0.0758
360,,,0.0658,,0.085,,0.073,,0.0059,,0.0868,,,,0.0585,,,,0.0916,,0.0754
361,,,0.0633,,0.0859,,0.0737,,0.0077,,0.0869,,,,0.0573,,,,0.0929,,0.0756
362,,,0.0611,,0.0863,,0.0756,,0.0085,,0.0875,,,,0.0566,,,,0.0924,,0.0758
363,,,0.0591,,0.0859,,0.0765,,0.0072,,0.0894,,,,0.0564,,,,0.0945,,0.0752
364,,,0.0573,,0.0862,,0.078,,0.0046,,0.089,,,,0.0555,,,,0.0945,,0.0745
365,,,0.0552,,0.0852,,0.0774,,0.0069,,0.0899,,,,0.0557,,,,0.0969,,0.0747
366,,,0.0534,,0.0843,,0.0761,,0.0052,,0.0905,,,,0.0554,,,,0.0969,,0.0741
367,,,0.0517,,0.0832,,0.075,,0.0052,,0.091,,,,0.0546,,,,0.099,,0.0728
368,,,0.0507,,0.0824,,0.0735,,0.0035,,0.0908,,,,0.0538,,,,0.1025,,0.0721
369,,,0.0494,,0.081,,0.0714,,0.0028,,0.0905,,,,0.0542,,,,0.1033,,0.0714
370,,,0.0481,,0.0787,,0.0697,,0.0005,,0.0905,,,,0.0538,,,,0.1035,,0.0705
371,,,0.0476,,0.0775,,0.0669,,0.0025,,0.0899,,,,0.0544,,,,0.1075,,0.0692
372,,,0.046,,0.0751,,0.0646,,0.0017,,0.0875,,,,0.0537,,,,0.1087,,0.069
373,,,0.0444,,0.0728,,0.0614,,0.0032,,0.0861,,,,0.0535,,,,0.1111,,0.0681
374,,,0.044,,0.0712,,0.0609,,0.0018,,0.0844,,,,0.0534,,,,0.1123,,0.067
375,,,0.0429,,0.0684,,0.0577,,0.0001,,0.0829,,,,0.0533,,,,0.1152,,0.0659
376,,,0.042,,0.0663,,0.056,,0.0047,,0.0805,,,,0.0527,,,,0.1137,,0.0642
377,,,0.0407,,0.0634,,0.0533,,0.0045,,0.0795,,,,0.0517,,,,0.1136,,0.0622
378,,,0.0396,,0.061,,0.0511,,0.0001,,0.0786,,,,0.0505,,,,0.1156,,0.0608
379,,,0.0388,,0.0587,,0.0497,,0.0069,,0.0774,,,,0.0501,,,,0.1143,,0.0591
380,,,0.0385,,0.0572,,0.0482,,0.0055,,0.0755,,,,0.0483,,,,0.1106,,0.0575
381,,,0.0368,,0.0536,,0.0467,,0.0053,,0.076,,,,0.0475,,,,0.1102,,0.0564
382,,,0.0365,,0.0516,,0.0465,,0.0056,,0.0756,,,,0.0458,,,,0.108,,0.0545
383,,,0.0361,,0.0498,,0.0457,,0.0176,,0.0742,,,,0.0438,,,,0.1094,,0.0534
384,,,0.0343,,0.0465,,0.0432,,0.0099,,0.0748,,,,0.0429,,,,0.1043,,0.0522
385,,,0.0344,,0.0452,,0.0443,,0.0046,,0.0743,,,,0.0419,,,,0.1036,,0.0509
386,,,0.0333,,0.0428,,0.0433,,0.0046,,0.0746,,,,0.0401,,,,0.1014,,0.0498
387,,,0.033,,0.0416,,0.0435,,0.0049,,0.0738,,,,0.0386,,,,0.0996,,0.0485
388,,,0.0327,,0.0399,,0.0434,,0.0042,,0.0737,,,,0.0368,,,,0.0985,,0.0463
389,,,0.0312,,0.0375,,0.0431,,0.0059,,0.0727,,,,0.036,,,,0.0981,,0.0448
390,,,0.0308,,0.0357,,0.0432,,0.0049,,0.0721,,,,0.0345,,,,0.0969,,0.0439
391,,,0.0305,,0.0342,,0.043,,0.0054,,0.0706,,,,0.0338,,,,0.0975,,0.0417
392,,,0.0294,,0.0326,,0.0422,,0.0045,,0.0694,,,,0.0326,,,,0.0967,,0.0395
393,,,0.0289,,0.0314,,0.0427,,0.0049,,0.067,,,,0.0315,,,,0.0985,,0.0377
394,,,0.0283,,0.0301,,0.0428,,0.0025,,0.0657,,,,0.03,,,,0.0975,,0.0353
395,,,0.0281,,0.0288,,0.0425,,0.0054,,0.0629,,,,0.0299,,,,0.0981,,0.0333
396,,,0.0274,,0.0272,,0.0418,,0.0042,,0.061,,,,0.0281,,,,0.0977,,0.0315
397,,,0.0274,,0.0269,,0.0427,,0.0044,,0.0583,,,,0.0281,,,,0.0979,,0.0293
398,,,0.0267,,0.0254,,0.0418,,0.0044,,0.0562,,,,0.0272,,,,0.0981,,0.028
399,,,0.0265,,0.0247,,0.0422,,0.0054,,0.0531,,,,0.0265,,,,0.0984,,0.0269
400,0.0461,,0.026,,0.0233,,0.041,,0.0027,,0.0508,,,,0.0259,,,,0.0963,,0.0247
401,0.0453,,0.0258,,0.0227,,0.0413,,0.0046,,0.0478,,,,0.0258,,,,0.096,,0.0234
402,0.0444,,0.0257,,0.0216,,0.0402,,0.0029,,0.0455,,,,0.0252,,,,0.0953,,0.0227
403,0.0439,,0.0257,,0.0211,,0.0403,,0.0044,,0.0432,,,,0.0248,,,,0.0948,,0.0214
404,0.0429,,0.0254,,0.0199,,0.0389,,0.0035,,0.0409,,,,0.0239,,,,0.0912,,0.0207
405,0.0421,,0.0254,,0.0192,,0.0388,,0.0038,,0.0381,,,,0.0231,,,,0.0917,,0.0201
406,0.0411,,0.0252,,0.0187,,0.0382,,0.0022,,0.0369,,,,0.0224,,,,0.0883,,0.0187
407,0.0403,,0.0254,,0.018,,0.0376,,0.0035,,0.0341,,,,0.0218,,,,0.0867,,0.0185
